Team,Record,ELO,Rank
Baylor,28 - 2,1901.46,1
Gonzaga,31 - 1,1887.56,2
Illinois,24 - 7,1777.12,3
Houston,27 - 4,1775.7,4
Michigan,23 - 5,1740.45,5
Alabama,26 - 7,1736.43,6
Arkansas,25 - 7,1707.36,7
USC,25 - 8,1692.48,8
Iowa,22 - 9,1688.36,9
Loyola-Chicago,24 - 5,1685.22,10
Kansas,20 - 9,1682.58,11
Oklahoma State,21 - 9,1681.89,12
UCLA,22 - 10,1677.35,13
Oregon,21 - 7,1671.87,14
Creighton,22 - 9,1669.46,15
Texas,19 - 8,1665.82,16
San Diego State,22 - 5,1664.14,17
Oregon State,19 - 13,1661.05,18
Florida State,18 - 7,1655.82,19
Villanova,18 - 7,1655.12,20
Memphis,20 - 8,1652.41,21
Virginia,18 - 7,1645.99,22
Ohio State,21 - 10,1638.84,23
LSU,19 - 10,1636.89,24
Colorado,23 - 9,1635.49,25
Georgia Tech,17 - 9,1633.77,26
West Virginia,19 - 10,1620.89,27
Syracuse,18 - 10,1619.58,28
BYU,19 - 7,1603.45,29
Texas Tech,18 - 11,1599.51,30
North Carolina,18 - 11,1594.42,31
Purdue,18 - 10,1588.46,32
Connecticut,15 - 8,1580.54,33
Tennessee,18 - 9,1576.44,34
Saint Bonaventure,16 - 5,1574.8,35
Wisconsin,18 - 13,1572.56,36
Georgetown,13 - 13,1571.41,37
Rutgers,16 - 12,1568.28,38
Michigan State,15 - 13,1567.63,39
Louisville,13 - 7,1565.34,40
Maryland,16 - 14,1563.43,41
Wichita State,14 - 6,1563.39,42
Duke,13 - 11,1562.9,43
VCU,19 - 7,1558.51,44
Oklahoma,16 - 11,1553.08,45
Utah State,19 - 9,1552.73,46
Drake,24 - 5,1548.69,47
Louisiana Tech,23 - 8,1548.6,48
Clemson,16 - 8,1545.46,49
Colgate,14 - 2,1542.53,50
Winthrop,23 - 2,1538.76,51
Florida,15 - 10,1538.5,52
Arizona,17 - 9,1538.29,53
Saint John's,16 - 11,1534.71,54
Mississippi State,18 - 15,1533.59,55
Western Kentucky,21 - 8,1528.35,56
Ohio,16 - 8,1527.55,57
Missouri,16 - 10,1522.52,58
Belmont,25 - 4,1513.07,59
Cincinnati,12 - 11,1510.12,60
Colorado State,19 - 8,1508.98,61
North Carolina State,14 - 11,1508.66,62
Saint Louis,14 - 7,1507.54,63
Virginia Tech,15 - 7,1506.53,64
Liberty,19 - 6,1504.31,65
North Texas,17 - 10,1502.83,66
UNCG,21 - 9,1501.92,67
Abilene Christian,20 - 5,1501.07,68
Saint Mary's College,14 - 10,1496.28,69
Seton Hall,14 - 13,1491.45,70
Providence,13 - 13,1491.31,71
Ole Miss,16 - 12,1489.77,72
Marquette,13 - 14,1485.74,73
Nevada,15 - 10,1484.0,74
UC Santa Barbara,20 - 5,1481.74,75
Xavier,13 - 8,1478.92,76
Arizona State,11 - 14,1478.51,77
Auburn,13 - 14,1477.86,78
Morehead State,21 - 8,1477.32,79
Butler,10 - 15,1475.72,80
Boise State,18 - 9,1470.2,81
Penn State,11 - 14,1469.69,82
Buffalo,15 - 9,1468.27,83
Kentucky,9 - 16,1467.24,84
Harvard,0 - 0,1460.85,85
SMU,11 - 6,1459.55,86
Eastern Washington,15 - 8,1458.79,87
Indiana,12 - 15,1457.93,88
Davidson,12 - 9,1457.01,89
Texas State,17 - 6,1456.76,90
Dayton,14 - 10,1456.39,91
Richmond,13 - 9,1454.28,92
UCF,11 - 12,1452.38,93
Yale,0 - 0,1450.05,94
Utah,12 - 13,1447.62,95
Georgia,13 - 12,1444.33,96
Missouri State,15 - 7,1443.96,97
UAB,20 - 7,1443.36,98
Pepperdine,13 - 12,1443.21,99
Oral Roberts,15 - 11,1443.13,100
Notre Dame,11 - 15,1442.25,101
Georgia State,14 - 6,1439.22,102
Toledo,21 - 9,1436.71,103
Akron,13 - 8,1430.99,104
Stanford,14 - 13,1429.15,105
Indiana State,14 - 10,1429.09,106
Wright State,18 - 6,1428.06,107
Marshall,15 - 7,1426.29,108
Stephen F. Austin,13 - 5,1421.35,109
Loyola-Marymount,13 - 9,1415.08,110
Navy,15 - 3,1409.95,111
Duquesne,9 - 9,1409.39,112
Old Dominion,14 - 8,1406.79,113
South Dakota State,15 - 7,1405.55,114
Texas Southern,16 - 9,1405.09,115
Kent State,14 - 8,1403.19,116
Washington State,14 - 13,1401.95,117
Wofford,13 - 9,1400.75,118
Furman,13 - 9,1398.82,119
Miami (FL),10 - 17,1396.67,120
George Mason,12 - 9,1393.59,121
Prairie View A&M,16 - 5,1393.02,122
Minnesota,14 - 15,1390.35,123
Vermont,10 - 5,1389.9,124
Cleveland State,19 - 8,1389.9,125
Southern Utah,15 - 4,1389.05,126
Mercer,15 - 11,1388.97,127
Eastern Kentucky,20 - 7,1387.18,128
Chattanooga,16 - 8,1386.64,129
TCU,12 - 14,1380.07,130
UC Irvine,16 - 9,1378.81,131
Nicholls,17 - 7,1377.18,132
Grand Canyon,14 - 7,1377.0,133
Texas A&M,8 - 10,1375.67,134
Kansas State,9 - 19,1375.49,135
Pacific,8 - 9,1374.1,136
UMass,8 - 7,1371.67,137
Siena,12 - 5,1367.43,138
Iona,12 - 6,1366.86,139
Penn,0 - 0,1366.35,140
Vanderbilt,9 - 16,1364.25,141
Pittsburgh,10 - 12,1362.31,142
East Tennessee State,11 - 12,1362.19,143
Northwestern,8 - 15,1361.23,144
South Alabama,13 - 11,1359.76,145
Drexel,12 - 8,1358.79,146
Hofstra,13 - 10,1356.63,147
Hartford,15 - 9,1356.26,148
Santa Clara,11 - 8,1355.46,149
Jacksonville State,16 - 9,1355.38,150
DePaul,5 - 14,1354.67,151
UMBC,14 - 6,1352.7,152
North Dakota State,15 - 12,1352.6,153
Northern Kentucky,14 - 11,1352.17,154
Weber State,14 - 6,1351.11,155
Northern Iowa,8 - 15,1351.0,156
Appalachian State,13 - 12,1348.66,157
South Carolina,6 - 15,1348.19,158
Coastal Carolina,14 - 8,1344.59,159
Wyoming,14 - 11,1344.32,160
Northeastern,10 - 9,1342.38,161
New Mexico State,9 - 8,1339.75,162
Norfolk State,15 - 8,1337.9,163
Tulsa,9 - 12,1337.34,164
UC Riverside,14 - 8,1336.99,165
South Florida,8 - 13,1332.8,166
Brown,0 - 0,1332.6,167
San Francisco,11 - 14,1327.76,168
UTSA,11 - 11,1323.95,169
Rhode Island,10 - 15,1322.4,170
Ball State,10 - 13,1322.18,171
Miami (OH),11 - 11,1321.62,172
Princeton,0 - 0,1320.45,173
Tulane,10 - 13,1319.71,174
Sam Houston State,15 - 9,1318.98,175
Fresno State,10 - 12,1318.92,176
Bowling Green,13 - 12,1318.88,177
UNLV,10 - 15,1317.33,178
Louisiana,15 - 9,1316.8,179
Elon,9 - 9,1311.94,180
Campbell,15 - 10,1308.22,181
California,8 - 20,1306.09,182
James Madison,10 - 7,1300.94,183
Detroit,12 - 10,1300.06,184
Jackson State,12 - 6,1298.88,185
Bryant,14 - 7,1297.14,186
Montana,10 - 13,1296.12,187
Wagner,13 - 7,1295.01,188
South Dakota,13 - 11,1287.77,189
Monmouth,12 - 8,1286.77,190
FAU,9 - 10,1283.47,191
Delaware,6 - 8,1283.17,192
UTEP,9 - 12,1280.65,193
Southern Illinois,11 - 14,1276.26,194
Temple,5 - 11,1275.52,195
VMI,10 - 12,1273.61,196
Wake Forest,5 - 16,1272.25,197
Lafayette,9 - 6,1270.66,198
Washington,5 - 21,1270.58,199
Montana State,11 - 10,1269.4,200
North Carolina A&T,9 - 10,1268.98,201
Valparaiso,8 - 18,1268.25,202
Bradley,10 - 16,1267.63,203
Army,11 - 10,1267.29,204
Rice,12 - 13,1266.71,205
UC Davis,9 - 8,1266.31,206
Boston University,7 - 11,1265.62,207
Mount Saint Mary's,12 - 11,1261.99,208
Boston College,4 - 16,1261.25,209
Saint Peter's,14 - 11,1260.46,210
Oakland,12 - 18,1258.36,211
American,4 - 6,1257.52,212
UMass-Lowell,11 - 12,1257.29,213
Bellarmine,12 - 8,1257.18,214
Nebraska,6 - 20,1256.33,215
Charleston,7 - 10,1253.94,216
William & Mary,7 - 10,1251.84,217
East Carolina,7 - 11,1250.09,218
Loyola-Maryland,6 - 11,1248.76,219
UTA,10 - 13,1248.4,220
Northern Colorado,8 - 11,1243.79,221
Radford,13 - 12,1242.75,222
Cal State Bakersfield,13 - 11,1242.69,223
Sacred Heart,9 - 9,1242.65,224
Hawaii,9 - 10,1240.21,225
Evansville,9 - 16,1239.21,226
Seattle University,8 - 11,1237.21,227
Youngstown State,11 - 12,1237.12,228
Bucknell,5 - 7,1234.26,229
Marist,12 - 9,1232.03,230
California Baptist,9 - 10,1231.52,231
La Salle,8 - 16,1231.22,232
Utah Valley,9 - 11,1230.38,233
Niagara,9 - 11,1229.22,234
Fairfield,10 - 17,1228.7,235
Georgia Southern,9 - 13,1228.24,236
UNC Asheville,10 - 10,1226.86,237
Canisius,7 - 6,1224.62,238
Murray State,11 - 13,1224.04,239
The Citadel,9 - 12,1223.64,240
Western Carolina,9 - 16,1223.18,241
Merrimack,9 - 9,1221.21,242
New Hampshire,9 - 9,1220.7,243
Arkansas State,8 - 13,1220.63,244
Saint Joseph's,5 - 15,1220.51,245
Bethune-Cookman,0 - 0,1219.2,246
Milwaukee,10 - 12,1218.14,247
North Alabama,9 - 11,1216.22,248
Stetson,10 - 14,1210.71,249
Lipscomb,11 - 12,1207.08,250
George Washington,5 - 12,1204.72,251
North Florida,7 - 14,1203.6,252
Dartmouth,0 - 0,1203.0,253
UMKC,7 - 13,1202.94,254
Morgan State,12 - 7,1202.27,255
Longwood,12 - 16,1201.96,256
Albany,7 - 9,1200.31,257
Gardner-Webb,11 - 15,1194.79,258
Austin Peay,12 - 13,1193.81,259
Northwestern State,10 - 18,1192.68,260
Grambling State,11 - 12,1191.45,261
Lamar,10 - 18,1191.4,262
Saint Francis (NY),9 - 10,1188.21,263
Portland State,6 - 12,1187.89,264
Southeast Missouri,11 - 16,1186.55,265
FGCU,8 - 8,1185.71,266
Southern,8 - 11,1184.83,267
Long Island,9 - 9,1184.18,268
Iowa State,2 - 22,1183.61,269
Little Rock,10 - 15,1182.65,270
Green Bay,8 - 17,1180.41,271
Towson,4 - 14,1177.71,272
Eastern Michigan,3 - 12,1176.23,273
Charlotte,9 - 15,1176.12,274
IUPUI,8 - 10,1174.62,275
Cal State Northridge,8 - 13,1174.44,276
Idaho State,8 - 11,1169.58,277
North Dakota,9 - 17,1166.43,278
UIC,9 - 13,1166.3,279
Holy Cross,5 - 11,1166.07,280
Coppin State,9 - 13,1165.22,281
North Carolina Central,4 - 9,1164.45,282
Cornell,0 - 0,1163.85,283
San Diego,3 - 11,1162.17,284
Sacramento State,6 - 12,1162.1,285
Fairleigh Dickinson,9 - 15,1160.63,286
Stony Brook,8 - 14,1158.81,287
Quinnipiac,9 - 13,1157.32,288
Troy,8 - 17,1154.97,289
Florida A&M,8 - 12,1154.8,290
Northern Arizona,6 - 16,1150.92,291
Illinois State,6 - 18,1150.65,292
Hampton,11 - 14,1145.23,293
UNCW,6 - 10,1142.8,294
Purdue Fort Wayne,8 - 15,1141.78,295
New Orleans,9 - 15,1141.44,296
Northern Illinois,3 - 16,1138.08,297
Tarleton State,5 - 10,1136.1,298
Jacksonville,9 - 13,1135.6,299
Western Michigan,4 - 16,1129.57,300
Manhattan,7 - 13,1129.05,301
Rider,6 - 17,1127.48,302
Central Michigan,5 - 15,1126.71,303
UTRGV,5 - 10,1122.09,304
UC San Diego,4 - 10,1121.07,305
Maine,2 - 7,1118.64,306
Saint Francis (PA),6 - 16,1116.08,307
Long Beach State,6 - 12,1116.04,308
ULM,7 - 19,1114.35,309
Lehigh,4 - 11,1114.27,310
Alcorn State,6 - 13,1112.13,311
Fordham,2 - 12,1111.63,312
High Point,9 - 15,1110.79,313
Cal State Fullerton,5 - 10,1109.28,314
Robert Morris,3 - 15,1105.88,315
Eastern Illinois,9 - 18,1105.56,316
Columbia,0 - 0,1104.45,317
New Mexico,4 - 16,1103.85,318
San Jose State,3 - 16,1096.07,319
Middle Tennessee,4 - 18,1095.58,320
Binghamton,4 - 14,1095.24,321
Western Illinois,6 - 15,1094.45,322
Tennessee-Martin,7 - 16,1092.17,323
Samford,4 - 13,1090.89,324
NJIT,7 - 12,1090.07,325
Air Force,5 - 20,1088.98,326
SIUE,8 - 17,1087.21,327
Maryland Eastern Shore,0 - 0,1082.85,328
Dixie State,6 - 13,1082.35,329
Howard,1 - 3,1079.04,330
Omaha,5 - 20,1073.06,331
Portland,3 - 15,1070.32,332
Tennessee Tech,5 - 22,1069.22,333
Central Connecticut,5 - 16,1068.88,334
FIU,5 - 17,1063.47,335
Southern Miss,6 - 17,1063.33,336
Alabama A&M,6 - 9,1059.42,337
Central Arkansas,4 - 19,1045.3,338
South Carolina Upstate,5 - 17,1044.52,339
Southeastern Louisiana,8 - 18,1036.55,340
Tennessee State,3 - 19,1017.13,341
Presbyterian College,6 - 15,1016.36,342
Houston Baptist,5 - 19,1012.39,343
McNeese,4 - 14,1012.36,344
Chicago State,0 - 9,1006.41,345
Texas A&M-Corpus Christi,2 - 19,999.08,346
Charleston Southern,2 - 18,998.86,347
Cal Poly,3 - 20,997.64,348
Kennesaw State,2 - 19,994.24,349
Alabama State,4 - 14,992.7,350
Incarnate Word,5 - 14,982.58,351
Arkansas-Pine Bluff,4 - 21,969.23,352
South Carolina State,1 - 17,961.53,353
Delaware State,1 - 16,954.15,354
Idaho,1 - 21,952.32,355
Mississippi Valley State,2 - 22,938.09,356
Denver,1 - 19,917.6,357
